iter,t,x,y,theta,vx,vy
245,6.125000,939.264719,326.000000,0.000000,1.800000,0.000000
246,6.150000,940.157576,326.000000,0.000000,1.800000,0.000000
247,6.175000,941.050433,326.000000,0.000000,1.800000,0.000000
248,6.200000,941.943290,326.000000,0.000000,1.800000,0.000000
249,6.225000,942.836147,326.000000,0.000000,1.800000,0.000000
250,6.250000,943.729004,326.000000,0.000000,1.800000,0.000000
251,6.275000,944.621861,326.000000,0.000000,1.800000,0.000000
252,6.300000,945.514719,326.000000,0.000000,1.800000,0.000000
253,6.325000,946.407576,326.000000,0.000000,1.800000,0.000000
254,6.350000,947.300433,326.000000,0.000000,1.800000,0.000000
255,6.375000,948.193290,326.000000,0.000000,1.800000,0.000000
256,6.400000,949.086147,326.000000,0.000000,1.800000,0.000000
257,6.425000,949.979004,326.000000,0.000000,1.800000,0.000000
258,6.450000,950.871861,326.000000,0.000000,1.800000,0.000000
259,6.475000,951.764719,326.000000,0.000000,1.800000,0.000000
260,6.500000,952.657576,326.000000,0.000000,1.800000,0.000000
261,6.525000,953.550433,326.000000,0.000000,1.800000,0.000000
262,6.550000,954.443290,326.000000,0.000000,1.800000,0.000000
263,6.575000,955.336147,326.000000,0.000000,1.800000,0.000000
264,6.600000,956.229004,326.000000,0.000000,1.800000,0.000000
265,6.625000,957.121861,326.000000,0.000000,1.800000,0.000000
266,6.650000,958.014719,326.000000,0.000000,1.800000,0.000000
267,6.675000,958.907576,326.000000,0.000000,1.800000,0.000000
268,6.700000,959.800433,326.000000,0.000000,1.800000,0.000000
269,6.725000,960.693290,326.000000,0.000000,1.800000,0.000000
270,6.750000,961.586147,326.000000,0.000000,1.800000,0.000000
271,6.775000,962.479004,326.000000,0.000000,1.800000,0.000000
272,6.800000,963.371861,326.000000,0.000000,1.800000,0.000000
273,6.825000,964.264719,326.000000,0.000000,1.800000,0.000000
274,6.850000,965.157576,326.000000,0.000000,1.800000,0.000000
275,6.875000,966.050433,326.000000,0.000000,1.800000,0.000000
276,6.900000,966.943290,326.000000,0.000000,1.800000,0.000000
277,6.925000,967.836147,326.000000,0.000000,1.800000,0.000000
278,6.950000,968.729004,326.000000,0.000000,1.800000,0.000000
279,6.975000,969.621861,326.000000,0.000000,1.800000,0.000000
280,7.000000,970.514719,326.000000,0.000000,1.800000,0.000000
281,7.025000,971.407576,326.000000,0.000000,1.800000,0.000000
282,7.050000,972.300433,326.000000,0.000000,1.800000,0.000000
283,7.075000,973.193290,326.000000,0.000000,1.800000,0.000000
284,7.100000,974.086147,326.000000,0.000000,1.800000,0.000000
285,7.125000,974.979004,326.000000,0.000000,1.800000,0.000000
286,7.150000,975.871861,326.000000,0.000000,1.800000,0.000000
287,7.175000,976.764719,326.000000,0.000000,1.800000,0.000000
288,7.200000,977.657576,326.000000,0.000000,1.800000,0.000000
289,7.225000,978.550433,326.000000,0.000000,1.800000,0.000000
290,7.250000,979.443290,326.000000,0.000000,1.800000,0.000000
291,7.275000,980.336147,326.000000,0.000000,1.800000,0.000000
292,7.300000,981.229004,326.000000,0.000000,1.800000,0.000000
293,7.325000,982.121861,326.000000,0.000000,1.800000,0.000000
294,7.350000,983.014719,326.000000,0.000000,1.800000,0.000000
295,7.375000,983.907576,326.000000,0.000000,1.800000,0.000000
296,7.400000,984.800433,326.000000,0.000000,1.800000,0.000000
297,7.425000,985.693290,326.000000,0.000000,1.800000,0.000000
298,7.450000,986.586147,326.000000,0.000000,1.800000,0.000000
299,7.475000,987.479004,326.000000,0.000000,1.800000,0.000000
300,7.500000,988.371861,326.000000,0.000000,1.800000,0.000000
301,7.525000,989.264719,326.000000,0.000000,1.800000,0.000000
302,7.550000,990.157576,326.000000,0.000000,1.800000,0.000000
303,7.575000,991.050433,326.000000,0.000000,1.800000,0.000000
304,7.600000,991.943290,326.000000,0.000000,1.800000,0.000000
305,7.625000,992.836147,326.000000,0.000000,1.800000,0.000000
306,7.650000,993.729004,326.000000,0.000000,1.800000,0.000000
307,7.675000,994.621861,326.000000,0.000000,1.800000,0.000000
308,7.700000,995.514719,326.000000,0.000000,1.800000,0.000000
309,7.725000,996.407576,326.000000,0.000000,1.800000,0.000000
310,7.750000,997.300433,326.000000,0.000000,1.800000,0.000000
311,7.775000,998.193290,326.000000,0.000000,1.800000,0.000000
312,7.800000,999.086147,326.000000,0.000000,1.800000,0.000000
313,7.825000,999.979004,326.000000,0.000000,1.800000,0.000000
314,7.850000,1000.871861,326.000000,0.000000,1.800000,0.000000
315,7.875000,1001.764719,326.000000,0.000000,1.800000,0.000000
316,7.900000,1002.657576,326.000000,0.000000,1.800000,0.000000
317,7.925000,1003.550433,326.000000,0.000000,1.800000,0.000000
318,7.950000,1004.443290,326.000000,0.000000,1.800000,0.000000
319,7.975000,1005.336147,326.000000,0.000000,1.800000,0.000000
320,8.000000,1006.229004,326.000000,0.000000,1.800000,0.000000
321,8.025000,1007.121861,326.000000,0.000000,1.800000,0.000000
322,8.050000,1008.014719,326.000000,0.000000,1.800000,0.000000
323,8.075000,1008.907576,326.000000,0.000000,1.800000,0.000000
324,8.100000,1009.800433,326.000000,0.000000,1.800000,0.000000
325,8.125000,1010.693290,326.000000,0.000000,1.800000,0.000000
326,8.150000,1011.586147,326.000000,0.000000,1.800000,0.000000
327,8.175000,1012.479004,326.000000,0.000000,1.800000,0.000000
328,8.200000,1013.371861,326.000000,0.000000,1.800000,0.000000
329,8.225000,1014.264719,326.000000,0.000000,1.800000,0.000000
330,8.250000,1015.157576,326.000000,0.000000,1.800000,0.000000
331,8.275000,1016.050433,326.000000,0.000000,1.800000,0.000000
332,8.300000,1016.943290,326.000000,0.000000,1.800000,0.000000
333,8.325000,1017.836147,326.000000,0.000000,1.800000,0.000000
334,8.350000,1018.729004,326.000000,0.000000,1.800000,0.000000
335,8.375000,1019.621861,326.000000,0.000000,1.800000,0.000000
